endInstructions.keys,endInstructions.rt,trials.label,trials.startVal,trials.startValSd,trials.stim_diam_degs,trials.SF,trials.TF,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,session,participant,date,expName,psychopyVersion,frameRate,
down,33.580644939000194,,,,,,,,,,,,,,,,,,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,high_8,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,1,0,start,4,lin,0.5,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,high_2,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,1,1,start,4,lin,0.5,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,1,2,start,4,lin,0.001,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,1,3,start,4,lin,0.001,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,2,4,start,4,lin,0.02506748593551877,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,high_8,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,2,5,start,4,lin,0.5240674859355188,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,2,6,start,4,lin,0.02506748593551877,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,high_2,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,2,7,start,4,lin,0.5240674859355188,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,high_8,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,3,8,start,4,lin,0.5399747081069984,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,3,9,start,4,lin,0.040974708106998485,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,high_2,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,3,10,start,4,lin,0.5399747081069984,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,3,11,start,4,lin,0.040974708106998485,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,4,12,start,4,lin,0.0559818653929014,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,high_8,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,4,13,start,4,lin,0.5549818653929014,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,high_2,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,4,14,start,4,lin,0.5549818653929014,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,4,15,start,4,lin,0.0559818653929014,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,high_2,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,5,16,start,4,lin,0.5682271588280314,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,5,17,start,4,lin,0.0692271588280314,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,5,18,start,4,lin,0.0692271588280314,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,high_8,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,5,19,start,4,lin,0.5682271588280314,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,high_2,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,6,20,start,4,lin,0.5812533968022043,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,6,21,start,4,lin,0.08225339680220434,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
,,high_8,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,6,22,start,4,lin,0.5812533968022043,0,001,000,2019_Oct_11_1253,interleaved_QUEST_staircase_contrast,3.0.2,60.16369301410699,
